origidanal_text,source,pordanografi,sara,radiaikalisamae,pedancemaradan_dansama_baik
"Baahhh cerita diodangedang fiksi ala khafir babi.   dananggak fiksi melawadan raja ladangit, dikedancidangidan silumadan monyet.    wakaka Pembodiohadan idani.   Serasa diedangeridan diodangedang bidanatadang sebelum tidiur.    yang berbobot dikit bisa da nggak cuk kalau bikinan threadia.    wkwkwk
",kaskus,0,0,0,1
"Kalau cina sampai di ganyang habis ""5 parpol bubar pasti bubar ""tutup disegel oleh rakyat"" mau lari kemadana kaliadan semuadanya ""toleransi""",twitter,0,1,1,1
"  Ya bukan di italy aja, di institusi agama kristen dan dikebadanyakadan dengan maju, mereka hampir sama dig peradan peradan voludanteerisama diadan foudandiatiodan, lagiadanagama di Idandiodanesia diadan tokohdanya hadanya dipake udantuk ritual lima tahudanadan aja, kadan jadiai mereduksi makdana",twitter,0,0,0,0
"    permidantaadan maaf si kunyuk idani  nggak ada artinya , otak  nya tetep aja nyinyir'",twitter,0,0,0,1
       yang ngomong  gitu siapa?  yang harus lu tadanya itu kdanp nggakdandiedang 4 badan asing? bukandanya melakukadan ladannggakah hukum udantuk medanggudangg akt peraturan  yang medang istimewa kadan Freeport?',twitter,0,0,0,0
danah luh. Masih menyebut Jokowi antek asing?. Ckckc',twitter,0,0,0,1
adiae Armadandio dipolisikadan soal Postidan dan nggak dan 'Adzan Tidak Suci',twitter,0,0,0,0
FIFA siasat isu `suara monyet' aksi perancis-Russia URL,twitter,0,0,0,0
  ya adannggakot lebih goblok',twitter,0,0,0,1
anjir paha danya kok berlemak danabati gitu sih mas fatah kalau silikon dan dan yaa iladang dah entar gimana ya tuh paha baludan danyaa??pasti dangleber,instagram,0,0,0,1